1000001,999999,,,,,,
999999,1000003,,,,,,
1000000,999999,,,,,,
1000000,1000003,,,,,,
1000003,1000003,,,,,,
999999,1000001,,,,,,
1000000,999999,,,,,,
1000001,999999,,,,,,
1000001,1000002,,,,,,
1000000,1000003,,,,,,
1000000,1000000,,,,,,
1000001,1000003,,,,,,
1000000,1000002,,,,,,
999999,1000003,,,,,,
1000003,999999,,,,,,
1000003,999999,,,,,,
1000000,1000001,,,,,,
999999,1000003,,,,,,
1000001,1000003,,,,,,
999999,1000000,,,,,,
1000003,1000001,,,,,,
1000003,1000003,,,,,,
1000000,1000000,,,,,,
1000000,1000002,,,,,,
1000001,1000003,,,,,,
999999,1000000,,,,,,
999999,1000003,,,,,,
1000000,999999,,,,,,
1000000,999999,,,,,,
1000001,1000002,,,,,,
1000003,999999,,,,,,
1000001,1000001,,,,,,
1000001,1000001,,,,,,
1000003,1000002,,,,,,
1000001,1000001,,,,,,
999999,1000003,,,,,,
999999,1000000,,,,,,
1000001,999999,,,,,,
1000002,1000003,,,,,,
1000003,1000001,,,,,,
1000003,1000002,,,,,,
1000003,999999,,,,,,
999999,1000000,,,,,,
999999,1000001,,,,,,
999999,1000003,,,,,,
1000001,1000003,,,,,,
1000000,1000003,,,,,,
1000002,1000003,,,,,,
999999,1000001,,,,,,
1000001,1000000,,,,,,
1000000,1000001,,,,,,
1000001,999999,,,,,,
999999,999999,,,,,,
1000000,999999,,,,,,
1000001,999999,,,,,,
1000003,1000000,,,,,,
1000003,1000002,,,,,,
1000000,999999,,,,,,
1000002,1000001,,,,,,
1000000,1000001,,,,,,
1000001,999999,,,,,,
1000000,1000000,,,,,,
1000001,1000001,,,,,,
999999,999999,,,,,,
1000000,1000002,,,,,,
1000003,1000001,,,,,,
1000002,1000002,,,,,,
999999,1000002,,,,,,
1000001,1000001,,,,,,
1000000,1000000,,,,,,
1000002,1000003,,,,,,
1000001,1000002,,,,,,
1000001,1000003,,,,,,
1000003,1000003,,,,,,
999999,1000002,,,,,,
1000002,1000001,,,,,,
1000003,999999,,,,,,
1000000,1000000,,,,,,
1000003,1000002,,,,,,
1000002,1000003,,,,,,
1000003,1000003,,,,,,
1000000,1000000,,,,,,
1000001,1000001,,,,,,
1000000,1000001,,,,,,
999999,1000002,,,,,,
1000003,999999,,,,,,
1000002,1000002,,,,,,
1000000,1000003,,,,,,
1000000,999999,,,,,,
1000001,1000000,,,,,,
1000001,1000003,,,,,,
1000002,1000000,,,,,,
1000003,1000003,,,,,,
999999,999999,,,,,,
1000000,1000003,,,,,,
1000000,1000001,,,,,,
999999,999999,,,,,,
1000001,1000001,,,,,,
1000002,1000000,,,,,,
1000003,1000000,,,,,,
10000000,10000000,,,,,,
10000000,10000001,,,,,,
9999999,10000001,,,,,,
9999999,10000000,,,,,,
10000000,10000000,,,,,,
9999999,10000000,,,,,,
10000000,10000000,,,,,,
10000000,9999999,,,,,,
10000000,10000001,,,,,,
10000000,10000001,,,,,,
10000000,10000000,,,,,,
10000000,9999999,,,,,,
10000000,10000001,,,,,,
9999999,10000001,,,,,,
9999999,10000000,,,,,,
